"country","year","gdp","gini","population"
Albania,2006,9767379279.88863,,2992547.0
Albania,2007,10351466806.2388,,2970017.0
Albania,2008,11127823665.7504,30.0,2947314.0
Albania,2009,11500613161.6647,,2927519.0
Albania,2010,11926928505.5231,,2913021.0
Albania,2011,12230507222.1843,,2905195.0
Albania,2012,12403877841.0321,29.0,2900401.0
Albania,2013,12528163103.1195,,2895092.0
Albania,2014,12750473701.7819,34.6,2889104.0
Albania,2015,13033375121.5884,32.9,2880703.0
Albania,2016,13465406059.6498,33.7,2876101.0
Albania,2017,13977387390.5945,33.2,2873457.0
Albania,2018,14546448944.4056,,2866376.0
Andorra,2006,3875142516.24022,,80995.0
Andorra,2007,3935330770.25056,,82682.0
Andorra,2008,3716558398.51518,,83860.0
Andorra,2009,3519475009.94299,,84461.0
Andorra,2010,3449966856.68832,,84454.0
Andorra,2011,3449688452.87021,,83748.0
Andorra,2012,3278085642.31738,,82427.0
Andorra,2013,3161792390.29564,,80770.0
Andorra,2014,3240978390.56079,,79213.0
Andorra,2015,3287458570.8604,,77993.0
Andorra,2016,3409412700.51704,,77295.0
Andorra,2017,3421211719.47501,,76997.0
Andorra,2018,3475566750.62972,,77008.0
Austria,2006,380329113681.259,29.6,8268641.0
Austria,2007,394505559258.526,30.6,8295487.0
Austria,2008,400267011848.042,30.4,8321496.0
Austria,2009,385198647266.611,31.5,8343323.0
Austria,2010,392275107258.667,30.3,8363404.0
Austria,2011,403740513438.199,30.8,8391643.0
Austria,2012,406487747903.707,30.5,8429991.0
Austria,2013,406591421433.927,30.8,8479823.0
Austria,2014,409280100109.633,30.5,8546356.0
Austria,2015,413432253216.039,30.5,8642699.0
Austria,2016,421657228102.472,30.8,8736668.0
Austria,2017,431775262676.529,29.7,8797566.0
Austria,2018,442915585749.024,30.8,8840521.0
Belarus,2006,44266566187.7427,28.3,9604924.0
Belarus,2007,48073493773.2612,29.6,9560953.0
Belarus,2008,52976989868.7029,27.8,9527985.0
Belarus,2009,53082941363.8271,27.7,9506765.0
Belarus,2010,57222490768.7143,28.6,9490583.0
Belarus,2011,60300321142.6581,27.2,9473172.0
Belarus,2012,61317669289.2363,26.5,9464495.0
Belarus,2013,61932974220.8466,26.6,9465997.0
Belarus,2014,63002175707.5323,27.2,9474511.0
Belarus,2015,60589462935.5585,25.6,9489616.0
Belarus,2016,59058702608.9201,25.3,9501534.0
Belarus,2017,60554177331.8333,25.4,9498264.0
Belarus,2018,62461148027.2823,25.2,9483499.0
Belgium,2006,458677622724.361,28.1,10547958
Belgium,2007,475542653709.135,29.2,10625700
Belgium,2008,477667990477.055,28.4,10709973
Belgium,2009,468015547701.557,28.6,10796493
Belgium,2010,481420882905.001,28.4,10895586
Belgium,2011,489578626676.653,28.1,11038264
Belgium,2012,493197676499.208,27.5,11106932
Belgium,2013,495462648324.133,27.7,11159407
Belgium,2014,503283690440.236,28.1,11209057
Belgium,2015,513558020680.56,27.7,11274196
Belgium,2016,520063190330.958,27.6,11331422
Belgium,2017,528496260419.776,27.4,11375158
Belgium,2018,537945351170.51,27.2,11427054
Bosnia and Herzegovina,2006,15729153560.7731,,3765422.0
Bosnia and Herzegovina,2007,16650743291.5849,33.1,3762791.0
Bosnia and Herzegovina,2008,17556851230.7796,,3754261.0
Bosnia and Herzegovina,2009,17029363372.8317,,3735945.0
Bosnia and Herzegovina,2010,17176781336.7644,,3705478.0
Bosnia and Herzegovina,2011,17341594485.6047,33.0,3661173.0
Bosnia and Herzegovina,2012,17199074936.9112,,3604972.0
Bosnia and Herzegovina,2013,17603228545.3329,,3542598.0
Bosnia and Herzegovina,2014,17806343590.1312,,3482106.0
Bosnia and Herzegovina,2015,18356410773.0628,,3429362.0
Bosnia and Herzegovina,2016,18934602269.0509,,3386263.0
Bosnia and Herzegovina,2017,19535100848.8297,,3351534.0
Bosnia and Herzegovina,2018,20265727508.4724,,3323929.0
Bulgaria,2006,45869280338.7161,35.7,7601022.0
Bulgaria,2007,48876966228.4417,36.1,7545338.0
Bulgaria,2008,51851436378.6577,33.6,7492561.0
Bulgaria,2009,50101534229.7147,33.8,7444443.0
Bulgaria,2010,50381825504.2642,35.7,7395599.0
Bulgaria,2011,51568094264.4734,34.3,7348328.0
Bulgaria,2012,51751979375.9177,36.0,7305888.0
Bulgaria,2013,51920571507.3287,36.6,7265115.0
Bulgaria,2014,52899515523.1699,37.4,7223938.0
Bulgaria,2015,55010127749.7693,38.6,7177991.0
Bulgaria,2016,57111753665.4351,40.6,7127822.0
Bulgaria,2017,59112236490.8388,40.4,7075947.0
Bulgaria,2018,60940251461.1954,41.3,7025037.0
Croatia,2006,61197075793.9092,,4311159.0
Croatia,2007,64298314188.4647,,4310217.0
Croatia,2008,65515772483.174,,4309705.0
Croatia,2009,60717700435.3099,32.6,4305181.0
Croatia,2010,59918313669.1671,32.4,4295427.0
Croatia,2011,59799454151.6423,32.3,4280622.0
Croatia,2012,58369186194.0968,32.5,4267558.0
Croatia,2013,58108222128.8461,32.0,4255689.0
Croatia,2014,57909810141.88,32.1,4238389.0
Croatia,2015,59318112197.5722,31.1,4203604.0
Croatia,2016,61393139836.7654,30.9,4174349.0
Croatia,2017,63504583355.145,30.4,4124531.0
Croatia,2018,65287544197.8689,29.7,4087843.0
Czech Republic,2006,197470142753.551,26.7,10238905
Czech Republic,2007,208469898850.69,26.0,10298828
Czech Republic,2008,214070259127.502,26.3,10384603
Czech Republic,2009,204100298391.036,26.2,10443936
Czech Republic,2010,209069940963.177,26.6,10474410
Czech Republic,2011,212750323790.759,26.4,10496088
Czech Republic,2012,211080224602.858,26.1,10510785
Czech Republic,2013,210983331025.624,26.5,10514272
Czech Republic,2014,215755991069.112,25.9,10525347
Czech Republic,2015,227381745549.048,25.9,10546059
Czech Republic,2016,233151067380.883,25.4,10566332
Czech Republic,2017,245202003265.939,24.9,10594438
Czech Republic,2018,253045172103.95,25.0,10629928
France,2006,2601491774613.78,29.7,63621376
France,2007,2664571088541.21,32.4,64016227
France,2008,2671364304886.08,33.0,64374979
France,2009,2594607624904.28,32.7,64707035
France,2010,2645187882116.67,33.7,65027505
France,2011,2703188933543.06,33.3,65342789
France,2012,2711653557481.26,33.1,65659814
France,2013,2727281540260.42,32.5,65998685
France,2014,2753359344138.85,32.3,66312067
France,2015,2784001820060.14,32.7,66548272
France,2016,2814499568997.83,31.9,66724104
France,2017,2878991574857.68,31.6,66918020
France,2018,2930607976267.93,32.4,67101930
Germany,2006,3328325430555.39,31.3,82376451
Germany,2007,3427391543620.05,31.3,82266372
Germany,2008,3460290359872.83,31.1,82110097
Germany,2009,3263267090017.34,30.5,81902307
Germany,2010,3399667820000.01,30.2,81776930
Germany,2011,3533111333252.44,30.5,80274983
Germany,2012,3547897319183.13,30.9,80425823
Germany,2013,3563422609296.38,31.1,80645605
Germany,2014,3642157979491.28,30.9,80982500
Germany,2015,3696496482672.59,31.7,81686611
Germany,2016,3778928349350.17,31.9,82348669
Germany,2017,3877255158232.27,,82657002
Germany,2018,3926418568780.85,,82905782
Gibraltar,2006,,,33420.0
Gibraltar,2007,,,33524.0
Gibraltar,2008,,,33570.0
Gibraltar,2009,,,33562.0
Gibraltar,2010,,,33585.0
Gibraltar,2011,,,33608.0
Gibraltar,2012,,,33653.0
Gibraltar,2013,,,33694.0
Gibraltar,2014,,,33726.0
Gibraltar,2015,,,33742.0
Gibraltar,2016,,,33738.0
Gibraltar,2017,,,33723.0
Gibraltar,2018,,,33715.0
Greece,2006,319132136925.793,35.1,11020362
Greece,2007,329579715229.25,34.0,11048473
Greece,2008,328475055055.053,33.6,11077841
Greece,2009,314348217058.93,33.6,11107017
Greece,2010,297124961971.501,34.1,11121341
Greece,2011,266968814916.016,34.8,11104899
Greece,2012,248061138528.468,36.3,11045011
Greece,2013,241259867501.329,36.1,10965211
Greece,2014,242944211867.598,35.8,10892413
Greece,2015,241943520921.99,36.0,10820883
Greece,2016,240758353595.684,35.0,10775971
Greece,2017,243842046377.8,34.4,10754679
Greece,2018,247643489387.938,32.9,10732882
Hungary,2006,138021450771.415,28.3,10071370
Hungary,2007,138355712640.943,27.9,10055780
Hungary,2008,139819916274.643,27.5,10038188
Hungary,2009,130452605289.135,27.0,10022650
Hungary,2010,131916516051.985,29.4,10000023
Hungary,2011,134471881165.37,29.2,9971727.0
Hungary,2012,132615331004.73,30.8,9920362.0
Hungary,2013,135082972930.623,31.5,9893082.0
Hungary,2014,140795565306.983,30.9,9866468.0
Hungary,2015,146173151085.081,30.4,9843028.0
Hungary,2016,149301250250.029,30.3,9814023.0
Hungary,2017,155746258233.436,30.6,9787966.0
Hungary,2018,164156103282.558,29.6,9775564.0
Italy,2006,2205941135644.34,33.7,58143979
Italy,2007,2238745090235.33,32.9,58438310
Italy,2008,2217208074999.43,33.8,58826731
Italy,2009,2100118708781.5,33.8,59095365
Italy,2010,2136099955236.67,34.7,59277417
Italy,2011,2151209302546.05,35.1,59379449
Italy,2012,2087083780359.59,35.2,59539717
Italy,2013,2048659201948.41,34.9,60233948
Italy,2014,2048566038303.31,34.7,60789140
Italy,2015,2064510116906.73,35.4,60730582
Italy,2016,2091213785858.19,35.2,60627498
Italy,2017,2126092284053.69,35.9,60536709
Italy,2018,2146114485858.04,,60421760
Liechtenstein,2006,,,34975.0
Liechtenstein,2007,,,35217.0
Liechtenstein,2008,,,35469.0
Liechtenstein,2009,,,35723.0
Liechtenstein,2010,5082366478.08994,,35996.0
Liechtenstein,2011,,,36299.0
Liechtenstein,2012,,,36615.0
Liechtenstein,2013,,,36940.0
Liechtenstein,2014,,,37219.0
Liechtenstein,2015,,,37465.0
Liechtenstein,2016,,,37655.0
Liechtenstein,2017,,,37805.0
Liechtenstein,2018,,,37918.0
Luxembourg,2006,49648546045.1779,30.9,472637.0
Luxembourg,2007,53796460668.8657,31.1,479993.0
Luxembourg,2008,53108088559.7831,32.6,488650.0
Luxembourg,2009,50793315934.8984,31.2,497783.0
Luxembourg,2010,53264394998.6001,30.5,506953.0
Luxembourg,2011,54616903567.9042,32.1,518347.0
Luxembourg,2012,54424368010.6887,34.3,530946.0
Luxembourg,2013,56413236518.3812,32.0,543360.0
Luxembourg,2014,58837192739.3142,31.2,556319.0
Luxembourg,2015,61370976137.0688,32.9,569604.0
Luxembourg,2016,64178453456.4681,31.7,582014.0
Luxembourg,2017,65334423537.5936,34.5,596336.0
Luxembourg,2018,67366870478.9246,35.4,607950.0
Malta,2006,7960297513.94763,28.0,405308.0
Malta,2007,8340378285.12884,29.2,406724.0
Malta,2008,8659511134.94235,29.0,409379.0
Malta,2009,8561323235.70686,30.2,412477.0
Malta,2010,9035932122.49768,29.0,414508.0
Malta,2011,9078134520.83534,29.1,416268.0
Malta,2012,9451945528.64474,29.4,420028.0
Malta,2013,9969284127.5679,28.8,425967.0
Malta,2014,10730293230.9693,29.0,434558.0
Malta,2015,11761274055.5891,29.4,445053.0
Malta,2016,12242418065.7844,29.1,455356.0
Malta,2017,13236432054.2372,29.2,467999.0
Malta,2018,13921976625.3068,28.7,484630.0
Moldova,2006,6239767852.66749,35.4,2880095.0
Moldova,2007,6426960903.2039,34.4,2873429.0
Moldova,2008,6928263862.95101,34.7,2867964.0
Moldova,2009,6512568011.12431,32.9,2864346.0
Moldova,2010,6974960345.3712,32.1,2861487.0
Moldova,2011,7380775144.91523,30.6,2859833.0
Moldova,2012,7337248195.12826,29.2,2859458.0
Moldova,2013,8000819052.00779,28.5,2858692.0
Moldova,2014,8400830055.05566,26.8,2856950.0
Moldova,2015,8372415480.26162,27.0,2834530.0
Moldova,2016,8741545794.83075,26.3,2802170.0
Moldova,2017,9151593647.17486,25.9,2755158.0
Moldova,2018,9545247410.92867,25.7,2708214.0
Monaco,2006,5145300278.40382,,34189.0
Monaco,2007,5887710460.02917,,34524.0
Monaco,2008,5926971761.89845,,34860.0
Monaco,2009,5257223916.21371,,35223.0
Monaco,2010,5367625613.15127,,35609.0
Monaco,2011,5743359406.07185,,36025.0
Monaco,2012,5800793053.16187,,36459.0
Monaco,2013,6357669097.17619,,36899.0
Monaco,2014,6815421317.77807,,37320.0
Monaco,2015,7149376905.74042,,37723.0
Monaco,2016,7399605196.87127,,38070.0
Monaco,2017,7148018560.25454,,38392.0
Monaco,2018,7584047726.36882,,38682.0
Netherlands,2006,818656877650.488,30.0,16346101
Netherlands,2007,849543512429.438,29.6,16381696
Netherlands,2008,867981366402.608,29.3,16445593
Netherlands,2009,836153497098.728,27.9,16530388
Netherlands,2010,847380859016.668,27.8,16615394
Netherlands,2011,860525340337.452,27.8,16693074
Netherlands,2012,851658883145.551,27.6,16754962
Netherlands,2013,850550233737.807,28.1,16804432
Netherlands,2014,862656926597.85,28.6,16865008
Netherlands,2015,879557839900.357,28.2,16939923
Netherlands,2016,898835229746.291,28.2,17030314
Netherlands,2017,924999447038.053,28.5,17131296
Netherlands,2018,946837898609.854,28.1,17231624
North Macedonia,2006,8138242511.94872,,2063132.0
North Macedonia,2007,8665070571.39311,,2065408.0
North Macedonia,2008,9139223353.51773,,2067309.0
North Macedonia,2009,9106448740.75946,42.8,2069030.0
North Macedonia,2010,9412311665.9492,40.2,2070737.0
North Macedonia,2011,9632549033.15179,39.4,2072484.0
North Macedonia,2012,9588606960.45675,38.1,2074275.0
North Macedonia,2013,9869098420.48675,36.2,2076065.0
North Macedonia,2014,10227260191.7624,35.2,2077780.0
North Macedonia,2015,10621609552.3164,35.6,2079335.0
North Macedonia,2016,10924134787.2329,34.5,2080746.0
North Macedonia,2017,11042309099.238,34.2,2081996.0
North Macedonia,2018,11360393491.8192,33.0,2082957.0
Poland,2006,403192683978.377,34.7,38141267
Poland,2007,431664312008.755,34.0,38120560
Poland,2008,449794050343.249,33.5,38125759
Poland,2009,462533048121.248,33.4,38151603
Poland,2010,479834179020.33,33.2,38042794
Poland,2011,502662952276.722,33.2,38063255
Poland,2012,509322687626.439,33.0,38063164
Poland,2013,515056478625.676,33.1,38040196
Poland,2014,532458063874.241,32.8,38011735
Poland,2015,555014724902.995,31.8,37986412
Poland,2016,572451795841.21,31.2,37970087
Poland,2017,600104964680.131,29.7,37974826
Poland,2018,632232812655.457,30.2,37974750
Portugal,2006,234931199934.205,38.1,10522288
Portugal,2007,240819937572.726,36.8,10542964
Portugal,2008,241588750226.565,36.6,10558177
Portugal,2009,234046157573.901,34.9,10568247
Portugal,2010,238113003233.284,35.8,10573100
Portugal,2011,234074214334.376,36.3,10557560
Portugal,2012,224577136198.924,36.0,10514844
Portugal,2013,222505087211.577,36.2,10457295
Portugal,2014,224267750933.647,35.6,10401062
Portugal,2015,228286732295.719,35.5,10358076
Portugal,2016,232896949514.553,35.2,10325452
Portugal,2017,241063120722.329,33.8,10300300
Portugal,2018,247931796009.536,33.5,10283822
Romania,2006,156266346693.626,39.6,21193760
Romania,2007,167570353781.434,37.5,20882982
Romania,2008,183166909447.59,36.4,20537875
Romania,2009,173060868628.322,35.6,20367487
Romania,2010,166309355234.589,35.5,20246871
Romania,2011,169479324149.248,35.9,20147528
Romania,2012,172937829621.072,36.5,20058035
Romania,2013,179459249986.084,36.9,19983693
Romania,2014,185935438388.184,36.0,19908979
Romania,2015,191427365158.106,35.9,19815616
Romania,2016,200430189829.58,34.4,19702267
Romania,2017,215100574411.243,36.0,19588715
Romania,2018,224725300753.379,35.8,19473970
Russian Federation,2006,1386608432989.65,41.0,143049637
Russian Federation,2007,1504469841529.42,42.3,142805114
Russian Federation,2008,1582701810889.97,41.6,142742366
Russian Federation,2009,1459251165972.78,39.8,142785349
Russian Federation,2010,1524917468442.01,39.5,142849468
Russian Federation,2011,1590489364644.29,39.7,142960908
Russian Federation,2012,1654492026998.83,40.7,143201721
Russian Federation,2013,1683535346495.76,40.9,143506995
Russian Federation,2014,1695930665412.95,39.9,143819667
Russian Federation,2015,1662474715110.35,37.7,144096870
Russian Federation,2016,1665694763578.53,36.8,144342397
Russian Federation,2017,1696106853061.04,37.2,144496739
Russian Federation,2018,1743720734850.68,37.5,144477859
San Marino,2006,2082324147.78876,,29694.0
San Marino,2007,2230363289.08025,,30068.0
San Marino,2008,2219190523.69976,,30434.0
San Marino,2009,1990148833.39972,,30825.0
San Marino,2010,1881214370.93994,,31221.0
San Marino,2011,1724795655.61309,,31655.0
San Marino,2012,1603291832.10026,,32103.0
San Marino,2013,1590722471.04721,,32554.0
San Marino,2014,1579549705.66672,,32941.0
San Marino,2015,1615745175.01546,,33270.0
San Marino,2016,1653624799.59014,,33503.0
San Marino,2017,1657895541.39012,,33671.0
San Marino,2018,1683506067.26526,,33784.0
Serbia,2006,37953228515.7138,,7411569.0
Serbia,2007,40397236364.6127,,7381579.0
Serbia,2008,42681933020.219,,7350222.0
Serbia,2009,41515968465.9198,,7320807.0
Serbia,2010,41819468691.8251,,7291436.0
Serbia,2011,42671028784.1099,,7234099.0
Serbia,2012,42380207643.5152,39.9,7199077.0
Serbia,2013,43606113097.5697,39.5,7164132.0
Serbia,2014,42912989429.7754,40.5,7130576.0
Serbia,2015,43688023451.3019,40.5,7095383.0
Serbia,2016,45146586020.325,38.8,7058322.0
Serbia,2017,46095189764.125,36.2,7020858.0
Serbia,2018,48167224454.1516,,6982604.0
Slovakia,2006,77183191548.8511,25.8,5373054.0
Slovakia,2007,85543697111.3733,24.7,5374622.0
Slovakia,2008,90312661014.7879,26.0,5379233.0
Slovakia,2009,85385623781.6126,27.2,5386406.0
Slovakia,2010,90398832433.9335,27.3,5391428.0
Slovakia,2011,92972684423.6731,26.5,5398384.0
Slovakia,2012,94736136629.9989,26.1,5407579.0
Slovakia,2013,95367586177.8506,28.1,5413393.0
Slovakia,2014,97886806555.4282,26.1,5418649.0
Slovakia,2015,102599958081.508,26.5,5423801.0
Slovakia,2016,104788135893.823,25.2,5430798.0
Slovakia,2017,107920798507.243,,5439232.0
Slovakia,2018,111860040781.458,25.0,5446771.0
Slovenia,2006,46464917542.2106,24.4,2006868.0
Slovenia,2007,49708243481.106,24.4,2018122.0
Slovenia,2008,51452924048.1751,23.7,2021316.0
Slovenia,2009,47569032084.5723,24.8,2039669.0
Slovenia,2010,48208240226.4501,24.9,2048583.0
Slovenia,2011,48623471168.9764,24.9,2052843.0
Slovenia,2012,47340084426.0571,25.6,2057159.0
Slovenia,2013,46852821092.7902,26.2,2059953.0
Slovenia,2014,48149781597.2791,25.7,2061980.0
Slovenia,2015,49213931063.9334,25.4,2063531.0
Slovenia,2016,50784767161.7182,24.8,2065042.0
Slovenia,2017,53219159738.4832,24.2,2066388.0
Slovenia,2018,55552554713.0659,24.6,2073894.0
Spain,2006,1411461390559.29,33.5,44397319
Spain,2007,1462340169523.89,34.1,45226803
Spain,2008,1475313249889.36,34.2,45954106
Spain,2009,1419793790647.73,34.9,46362946
Spain,2010,1422108199783.34,35.2,46576897
Spain,2011,1410526928100.77,35.7,46742697
Spain,2012,1368783211618.46,35.4,46773055
Spain,2013,1349135775978.08,36.2,46620045
Spain,2014,1367806573139.25,36.1,46480882
Spain,2015,1420264316878.6,36.2,46444832
Spain,2016,1463316808003.09,35.8,46484062
Spain,2017,1506830599353.93,34.7,46593236
Spain,2018,1543447293320.58,34.7,46797754
Switzerland,2006,558432011619.952,33.9,7483934.0
Switzerland,2007,580745403737.188,34.3,7551117.0
Switzerland,2008,596747909749.776,33.8,7647675.0
Switzerland,2009,584337741980.175,32.9,7743831.0
Switzerland,2010,603434493402.679,32.6,7824909.0
Switzerland,2011,615023126905.369,31.7,7912398.0
Switzerland,2012,622509149394.166,31.6,7996861.0
Switzerland,2013,633849198063.623,32.5,8089346.0
Switzerland,2014,649358506468.394,32.5,8188649.0
Switzerland,2015,660123368612.609,32.3,8282396.0
Switzerland,2016,673624122427.937,33.0,8373338.0
Switzerland,2017,684299849661.364,32.7,8451840.0
Switzerland,2018,704920576240.946,33.1,8514329.0
Ukraine,2006,139607929641.793,29.8,46787786
Ukraine,2007,150209086270.689,27.0,46509355
Ukraine,2008,153669941036.719,26.6,46258189
Ukraine,2009,130990467246.875,25.3,46053331
Ukraine,2010,136013155905.036,24.8,45870741
Ukraine,2011,143446957451.616,24.6,45706086
Ukraine,2012,143789339118.051,24.7,45593342
Ukraine,2013,143750950398.359,24.6,45489648
Ukraine,2014,134331480637.625,24.0,45272155
Ukraine,2015,121203317705.377,25.5,45154036
Ukraine,2016,123912293812.632,25.0,45004673
Ukraine,2017,126968015121.443,26.0,44831135
Ukraine,2018,131291651249.309,26.1,44622518
